#: table_doi: 10.17182/hepdata.90835.v1/t78
#: name: T2bb significance
#: description: The observed significance of the SMS models for T2bb as function of the bottom squark and LSP masses. 
#: data_file: t2bb_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: Significance,
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
381.25,943.91,0.0
381.25,960.31,0.0
381.25,976.71,0.0
381.25,993.11,0.0
381.25,1009.5,0.0
381.25,1025.9,0.0
381.25,1042.3,0.0
381.25,1058.7,0.0
381.25,1075.1,0.0
381.25,1091.5,0.0
381.25,1107.9,0.0
381.25,1124.3,0.0
381.25,1140.7,0.0
381.25,1157.1,0.0
381.25,1173.5,0.0
381.25,1189.9,0.0
381.25,1206.3,0.0
381.25,1222.7,0.0
381.25,1239.1,0.0
381.25,1255.5,0.0
381.25,1271.9,0.0
381.25,1288.3,0.0
381.25,1304.7,0.0
381.25,1321.1,0.0
381.25,1337.5,0.0
381.25,1353.9,0.0
381.25,1370.3,0.0
381.25,1386.7,0.0
381.25,1403.1,0.0
381.25,1419.5,0.0
381.25,1435.9,0.0
381.25,1452.3,0.0
381.25,1468.7,0.0
381.25,1485.1,0.0
381.25,1501.5,0.0
381.25,1517.9,0.0
381.25,1534.3,0.0
381.25,1550.7,0.0
381.25,1567.1,0.0
381.25,1583.4,0.0
381.25,1599.8,0.0
381.25,1616.2,0.0
381.25,1632.6,0.0
381.25,1649.0,0.0
381.25,1665.4,0.0
381.25,1681.8,0.0
381.25,1698.2,0.0
381.25,1714.6,0.0
381.25,1731.0,0.0
381.25,1747.4,0.0
381.25,1763.8,0.0
381.25,1780.2,0.0
381.25,1796.6,0.0
381.25,1813.0,0.0
381.25,1829.4,0.0
381.25,1845.8,0.0
381.25,1862.2,0.0
381.25,1878.6,0.0
381.25,1895.0,0.0
381.25,1911.4,0.0
381.25,1927.8,0.0
381.25,1944.2,0.0
381.25,1960.6,0.0
381.25,1977.0,0.0
381.25,1993.4,0.0
381.25,2009.8,0.0
381.25,2026.2,0.0
381.25,2042.6,0.0
381.25,2059.0,0.0
381.25,2075.4,0.0
381.25,2091.8,0.0
393.75,9.1992,-1.1977
393.75,25.598,-1.1869
393.75,41.996,-1.176
393.75,58.395,-1.1652
393.75,74.793,-1.1544
393.75,91.191,-1.1435
393.75,107.59,-1.1431
393.75,123.99,-1.0994
393.75,140.39,-1.0556
393.75,156.79,-1.0118
393.75,173.18,-0.96804
393.75,189.58,-0.92426
393.75,205.98,-0.93551
393.75,222.38,-0.92704
393.75,238.78,-0.97725
393.75,255.18,-1.0598
393.75,271.57,-1.1039
393.75,287.97,-1.1547
393.75,304.37,-1.1966
393.75,320.77,-1.1897
393.75,337.17,-1.1266
393.75,353.57,-1.143
393.75,369.96,0.0
393.75,386.36,0.0
393.75,402.76,0.0
393.75,419.16,0.0
393.75,435.56,0.0
393.75,451.96,0.0
393.75,468.36,0.0
393.75,484.75,0.0
393.75,501.15,0.0
393.75,517.55,0.0
393.75,533.95,0.0
393.75,550.35,0.0
393.75,566.75,0.0
393.75,583.14,0.0
393.75,599.54,0.0
393.75,615.94,0.0
393.75,632.34,0.0
393.75,648.74,0.0
393.75,665.14,0.0
393.75,681.54,0.0
393.75,697.93,0.0
393.75,714.33,0.0
393.75,730.73,0.0
393.75,747.13,0.0
393.75,763.53,0.0
393.75,779.93,0.0
393.75,796.32,0.0
393.75,812.72,0.0
393.75,829.12,0.0
393.75,845.52,0.0
393.75,861.92,0.0
393.75,878.32,0.0
393.75,894.71,0.0
393.75,911.11,0.0
393.75,927.51,0.0
393.75,943.91,0.0
393.75,960.31,0.0
393.75,976.71,0.0
393.75,993.11,0.0
393.75,1009.5,0.0
393.75,1025.9,0.0
393.75,1042.3,0.0
393.75,1058.7,0.0
393.75,1075.1,0.0
393.75,1091.5,0.0
393.75,1107.9,0.0
393.75,1124.3,0.0
393.75,1140.7,0.0
393.75,1157.1,0.0
393.75,1173.5,0.0
393.75,1189.9,0.0
393.75,1206.3,0.0
393.75,1222.7,0.0
393.75,1239.1,0.0
393.75,1255.5,0.0
393.75,1271.9,0.0
393.75,1288.3,0.0
393.75,1304.7,0.0
